Player,player_id,team,date,home,opponent,win,team_pts,opp_pts,minutes,fgmade,fgatt,made3,att3,made1,att1,offrb,defrb,totrb,assist,steal,block,turnover,fouls,points,efficiency,,
Candace Parker,3,LAS,608,1,MIN,0,72,85,35,9,21,2,3,4,4,2,9,11,3,3,1,1,2,24,29,,
Candace Parker,3,LAS,613,0,TUL,0,67,69,31,5,14,0,0,8,10,1,4,5,2,2,3,1,2,18,18,,
Candace Parker,3,LAS,614,0,SAN,0,74,101,26,7,11,0,0,2,3,0,5,5,4,2,2,1,2,16,23,,
Candace Parker,3,LAS,617,1,MIN,0,77,94,26,7,11,0,1,2,4,1,4,5,3,1,0,1,1,16,18,,
Candace Parker,3,LAS,619,1,TUL,1,87,77,33,7,16,1,3,9,11,0,7,7,6,0,0,4,0,24,22,,
Candace Parker,3,LAS,622,1,SAN,0,69,72,38,7,14,1,5,2,2,0,8,8,2,1,1,7,2,17,15,,
Candace Parker,3,LAS,624,1,SEA,1,65,57,35,8,14,1,2,3,3,1,10,11,7,2,4,3,0,20,35,,
Candace Parker,3,LAS,628,0,TUL,1,92,89,40,5,16,0,1,5,6,0,5,5,7,2,2,2,1,15,17,,
Candace Parker,3,LAS,701,1,CHI,0,83,90,30,9,15,0,1,4,5,2,2,4,4,2,3,2,3,22,26,,
Candace Parker,3,LAS,703,0,SEA,1,70,56,34,8,14,0,1,1,2,1,9,10,5,4,4,3,3,17,30,,
Candace Parker,3,LAS,706,1,PHO,0,89,94,33,11,20,2,3,3,4,0,8,8,6,1,2,3,2,27,31,,
Candace Parker,3,LAS,708,0,MIN,0,72,83,30,5,18,3,7,3,4,2,6,8,5,0,2,1,4,16,16,,
Candace Parker,3,LAS,711,0,NYL,1,68,54,29,7,13,0,0,0,0,0,4,4,1,2,0,0,1,14,15,,
Candace Parker,3,LAS,713,0,CON,1,90,64,27,3,6,1,2,8,8,1,8,9,3,0,1,3,1,15,22,,
Candace Parker,3,LAS,715,0,IND,1,86,78,34,12,20,3,4,7,8,3,1,4,3,1,2,5,2,34,30,,
Candace Parker,3,LAS,717,1,WAS,0,75,79,33,5,16,0,1,8,8,1,6,7,6,5,1,4,0,18,22,,
Candace Parker,3,LAS,724,1,PHO,0,73,93,37,5,17,0,2,4,6,1,8,9,1,0,0,3,0,14,7,,
Candace Parker,3,LAS,726,0,SEA,1,77,69,38,7,17,1,3,4,6,0,4,4,4,1,1,2,1,19,15,,
